temperature_folder,sample_id,tx_path,rx_path,error
15,001386,/home/hugo/Escritorio/ISAC/BBDD/15/iq_tx_001386.bin,/home/hugo/Escritorio/ISAC/BBDD/15/iq_rx_001386.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
18,001733,/home/hugo/Escritorio/ISAC/BBDD/18/iq_tx_001733.bin,/home/hugo/Escritorio/ISAC/BBDD/18/iq_rx_001733.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
30,001847,/home/hugo/Escritorio/ISAC/BBDD/30/iq_tx_001847.bin,/home/hugo/Escritorio/ISAC/BBDD/30/iq_rx_001847.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
34,001266,/home/hugo/Escritorio/ISAC/BBDD/34/iq_tx_001266.bin,/home/hugo/Escritorio/ISAC/BBDD/34/iq_rx_001266.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
36,001277,/home/hugo/Escritorio/ISAC/BBDD/36/iq_tx_001277.bin,/home/hugo/Escritorio/ISAC/BBDD/36/iq_rx_001277.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
46,001394,/home/hugo/Escritorio/ISAC/BBDD/46/iq_tx_001394.bin,/home/hugo/Escritorio/ISAC/BBDD/46/iq_rx_001394.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
48,001461,/home/hugo/Escritorio/ISAC/BBDD/48/iq_tx_001461.bin,/home/hugo/Escritorio/ISAC/BBDD/48/iq_rx_001461.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
50,002629,/home/hugo/Escritorio/ISAC/BBDD/50/iq_tx_002629.bin,/home/hugo/Escritorio/ISAC/BBDD/50/iq_rx_002629.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
52,001279,/home/hugo/Escritorio/ISAC/BBDD/52/iq_tx_001279.bin,/home/hugo/Escritorio/ISAC/BBDD/52/iq_rx_001279.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
56,001568,/home/hugo/Escritorio/ISAC/BBDD/56/iq_tx_001568.bin,/home/hugo/Escritorio/ISAC/BBDD/56/iq_rx_001568.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
59,001704,/home/hugo/Escritorio/ISAC/BBDD/59/iq_tx_001704.bin,/home/hugo/Escritorio/ISAC/BBDD/59/iq_rx_001704.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
61,001921,/home/hugo/Escritorio/ISAC/BBDD/61/iq_tx_001921.bin,/home/hugo/Escritorio/ISAC/BBDD/61/iq_rx_001921.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
68,001522,/home/hugo/Escritorio/ISAC/BBDD/68/iq_tx_001522.bin,/home/hugo/Escritorio/ISAC/BBDD/68/iq_rx_001522.bin,ValueError('El archivo no contiene ni una trama completa según el YAML.')
